Gender,Age Range,Ethnicity,Department,Education Level,Years of Experience,Performance Score,Training Participation,Support for Diversity Initiatives,Experienced Workplace Bias,Projects Handled,Overtime Hours,Promotion Status
Male,40-49,Hispanic,IT,PhD,10,60,No,Yes,Yes,6,19,Yes
Female,30-39,White,IT,Bachelor,21,95,Yes,Yes,Yes,10,17,No
Male,30-39,White,IT,Bachelor,5,95,Yes,No,No,11,18,No
Male,40-49,Hispanic,IT,PhD,27,80,No,Yes,Yes,12,15,Yes
Male,40-49,Asian,Marketing,Master,23,80,Yes,No,No,7,26,Yes
Female,40-49,Asian,HR,PhD,20,60,No,No,Yes,1,13,No
Male,50-59,White,IT,PhD,29,85,Yes,No,No,1,29,Yes
Male,30-39,Asian,Finance,Master,20,70,No,Yes,No,10,28,Yes
Male,50-59,Hispanic,Marketing,PhD,25,80,Yes,Yes,No,2,7,Yes
Female,50-59,Asian,Marketing,PhD,6,70,No,Yes,Yes,10,11,No
Male,40-49,White,IT,PhD,4,90,No,Yes,Yes,3,8,No
Male,40-49,Hispanic,Marketing,Master,2,60,Yes,No,Yes,12,5,Yes
Male,20-29,Asian,IT,Bachelor,22,85,No,No,Yes,1,25,No
Male,20-29,Black,HR,Bachelor,16,90,No,Yes,No,14,17,No
Female,50-59,Hispanic,HR,Master,18,90,No,Yes,No,5,1,No
Male,30-39,Hispanic,Marketing,Bachelor,5,95,No,Yes,No,3,22,Yes
Female,40-49,Black,Marketing,PhD,22,90,Yes,Yes,Yes,1,7,No
Female,40-49,Black,Finance,Bachelor,4,60,No,Yes,Yes,8,23,No
Female,50-59,Hispanic,Marketing,PhD,30,80,Yes,Yes,Yes,12,13,No
Male,20-29,Black,Finance,Bachelor,13,60,Yes,Yes,No,11,5,Yes
Female,30-39,White,HR,Master,19,80,Yes,No,Yes,6,9,No
Male,20-29,White,HR,Bachelor,23,90,Yes,No,Yes,9,7,Yes
Female,20-29,White,IT,Bachelor,2,90,No,No,No,3,29,Yes
Female,20-29,Hispanic,HR,Bachelor,13,85,No,No,No,9,16,No
Female,20-29,Black,Finance,Master,11,80,Yes,Yes,Yes,9,24,Yes
Female,40-49,Black,Marketing,Bachelor,30,90,No,Yes,No,12,28,No
Female,40-49,Asian,IT,Master,22,95,Yes,Yes,Yes,13,11,No
Female,20-29,Asian,Finance,PhD,29,70,No,Yes,No,12,16,No
Female,30-39,Black,Marketing,Bachelor,4,85,No,Yes,No,1,12,No
Female,50-59,Black,IT,Master,22,60,No,No,No,3,18,No
Male,30-39,Black,HR,Master,20,85,Yes,Yes,Yes,6,11,Yes
Male,30-39,Hispanic,Finance,Bachelor,20,70,Yes,No,Yes,8,15,Yes
Female,30-39,Black,Marketing,PhD,15,80,No,Yes,Yes,4,24,No
Female,20-29,Asian,IT,Master,4,60,Yes,No,No,5,26,No
Female,40-49,Hispanic,IT,Bachelor,9,60,Yes,Yes,No,9,4,No
Male,30-39,Black,HR,PhD,7,80,No,No,No,6,24,Yes
Female,20-29,Asian,Marketing,Master,19,85,Yes,Yes,No,12,15,No
Male,30-39,Hispanic,HR,Master,19,90,No,Yes,Yes,7,24,Yes
Male,30-39,Black,HR,PhD,6,85,No,Yes,Yes,7,5,Yes
Male,20-29,Black,Marketing,PhD,6,70,No,Yes,Yes,4,10,Yes
Male,40-49,Black,Marketing,Bachelor,20,95,Yes,No,No,4,16,Yes
Male,40-49,Hispanic,Marketing,Bachelor,15,90,No,Yes,No,4,25,Yes
Female,50-59,Asian,Finance,Master,15,85,No,No,Yes,14,22,No
Female,20-29,Asian,Marketing,PhD,25,95,Yes,Yes,No,11,13,No
Female,50-59,White,IT,PhD,20,95,Yes,No,Yes,5,5,No
Female,50-59,Black,HR,PhD,9,80,Yes,Yes,No,5,24,No
Female,50-59,White,Finance,Master,4,70,Yes,Yes,No,8,22,No
Male,40-49,White,Marketing,PhD,18,70,No,No,Yes,9,29,Yes
Female,20-29,Asian,Finance,PhD,18,70,Yes,Yes,Yes,2,27,No
Female,50-59,Hispanic,Marketing,Master,5,90,Yes,Yes,No,11,10,No
Male,20-29,Hispanic,Finance,Bachelor,20,60,Yes,No,Yes,7,11,Yes
Female,20-29,Asian,HR,Bachelor,23,90,Yes,Yes,Yes,1,12,No
Male,40-49,Hispanic,HR,Master,30,85,No,No,No,1,3,Yes
Female,50-59,White,IT,PhD,11,95,Yes,Yes,No,4,6,No
Male,50-59,Black,IT,Master,5,95,No,No,No,10,1,Yes
Female,20-29,Asian,Marketing,Bachelor,22,60,Yes,No,Yes,7,5,No
Female,30-39,Black,HR,Bachelor,26,85,No,No,No,2,5,No
Male,40-49,Hispanic,Finance,Master,4,60,No,No,No,11,17,Yes
Male,40-49,Black,Finance,Master,29,95,Yes,Yes,No,2,29,Yes
Male,40-49,Hispanic,Finance,Bachelor,12,90,No,Yes,No,1,19,Yes
Male,40-49,Hispanic,IT,Master,2,70,Yes,No,No,10,7,Yes
Male,50-59,White,Finance,Bachelor,13,95,No,Yes,Yes,2,7,No
Male,50-59,Hispanic,IT,Master,10,80,No,Yes,No,13,28,Yes
Male,30-39,White,IT,Master,9,70,No,Yes,No,7,7,Yes
Male,40-49,White,Marketing,Master,10,95,Yes,No,Yes,9,7,Yes
Female,40-49,White,Finance,Bachelor,7,90,No,Yes,No,6,0,No
Female,20-29,Asian,Finance,Master,4,60,Yes,Yes,No,10,1,No
Male,50-59,Asian,HR,Bachelor,19,70,No,No,Yes,2,11,Yes
Female,40-49,Hispanic,Marketing,Bachelor,10,90,No,Yes,No,12,14,No
Female,30-39,White,HR,Master,30,85,No,No,Yes,10,3,No
Female,30-39,Asian,Marketing,Master,3,80,No,No,No,10,27,No
Female,50-59,White,Finance,Bachelor,25,70,No,No,Yes,13,24,No
Male,30-39,Black,IT,Bachelor,21,60,No,Yes,Yes,9,2,Yes
Female,30-39,Black,IT,PhD,29,85,Yes,Yes,No,7,13,Yes
Male,50-59,Black,IT,Bachelor,19,90,Yes,No,Yes,11,21,Yes
Female,40-49,Hispanic,IT,PhD,21,80,Yes,No,Yes,1,22,No
Female,40-49,White,IT,PhD,2,60,No,No,No,12,7,No
Female,30-39,Black,HR,PhD,27,90,Yes,No,No,9,12,No
Male,30-39,Asian,Marketing,Master,20,90,No,No,Yes,2,22,Yes
Female,40-49,Black,Finance,Master,10,70,Yes,No,No,4,18,No
Male,50-59,Black,HR,Bachelor,2,70,Yes,Yes,Yes,9,21,Yes
Female,30-39,Black,Marketing,PhD,2,60,No,No,Yes,4,4,No
Male,20-29,Hispanic,IT,Master,28,95,No,No,No,3,12,Yes
Female,50-59,Asian,Marketing,Master,24,95,Yes,No,No,1,27,No
Male,30-39,White,Marketing,Master,17,90,Yes,Yes,Yes,7,25,Yes
Male,30-39,Asian,IT,Master,16,70,Yes,Yes,No,6,19,Yes
Female,20-29,White,IT,Master,16,80,Yes,Yes,No,10,0,No
Male,20-29,Hispanic,IT,PhD,14,80,No,Yes,Yes,4,15,No
Female,40-49,Hispanic,Finance,PhD,7,90,Yes,No,Yes,6,29,Yes
Female,50-59,Hispanic,IT,PhD,21,70,No,Yes,Yes,6,28,No
Female,50-59,Hispanic,Finance,PhD,11,60,No,No,Yes,13,22,Yes
Female,40-49,White,IT,Bachelor,24,60,Yes,No,Yes,4,23,Yes
Female,50-59,Black,Finance,PhD,1,60,No,No,Yes,14,1,No
Female,50-59,White,Marketing,Master,11,80,Yes,No,No,13,6,No
Female,50-59,Asian,HR,PhD,23,70,No,No,Yes,6,5,Yes
Female,50-59,Hispanic,Marketing,Bachelor,21,70,No,No,No,10,4,Yes
Female,50-59,Hispanic,Marketing,Master,4,80,Yes,Yes,No,11,28,Yes
Female,20-29,Asian,IT,PhD,7,60,No,Yes,Yes,8,3,No
Female,50-59,White,Finance,PhD,26,60,No,Yes,No,13,1,No
Male,20-29,Black,HR,PhD,15,90,Yes,Yes,Yes,3,9,Yes
Male,50-59,Black,IT,Master,18,95,No,Yes,No,4,21,Yes
Female,40-49,Asian,IT,Master,12,85,No,No,Yes,10,4,No
Female,30-39,Black,IT,Bachelor,17,95,Yes,Yes,Yes,13,17,No
Female,20-29,White,Marketing,Master,1,70,Yes,Yes,Yes,12,9,No
Female,50-59,White,Finance,Master,11,70,No,Yes,Yes,14,22,No
Female,40-49,Asian,Finance,PhD,28,70,No,No,No,1,21,No
Female,30-39,White,HR,Master,1,95,No,No,No,4,27,No
Female,20-29,Hispanic,Finance,PhD,15,85,Yes,No,No,11,14,No
Female,30-39,Asian,Finance,PhD,28,90,No,Yes,No,10,26,No
Male,40-49,White,IT,Master,21,95,No,Yes,No,10,8,Yes
Female,20-29,Asian,IT,Bachelor,10,85,No,Yes,Yes,12,10,No
Male,30-39,Black,Marketing,Bachelor,7,60,No,Yes,Yes,14,25,Yes
Female,50-59,White,IT,Master,2,60,No,Yes,Yes,9,20,No
Female,20-29,Hispanic,IT,Bachelor,10,70,No,No,Yes,8,24,No
Male,30-39,White,IT,PhD,24,80,Yes,Yes,Yes,11,24,Yes
Female,40-49,Asian,IT,PhD,4,70,Yes,No,No,4,28,Yes
Male,40-49,Asian,Marketing,Master,12,80,No,Yes,Yes,12,16,Yes
Female,20-29,White,IT,Bachelor,19,85,No,No,Yes,7,20,No
Female,30-39,Hispanic,HR,Bachelor,26,60,Yes,No,No,10,8,Yes
Male,20-29,Hispanic,HR,PhD,11,95,Yes,No,No,3,22,Yes
Female,20-29,Hispanic,HR,Master,8,80,Yes,No,Yes,9,15,No
Male,30-39,Asian,HR,Bachelor,18,85,No,Yes,Yes,10,5,Yes
Female,30-39,White,IT,Master,11,60,No,Yes,No,4,21,No
Male,50-59,Black,HR,Bachelor,11,95,No,Yes,Yes,2,10,Yes
Male,30-39,Asian,IT,PhD,13,80,No,No,Yes,10,22,Yes
Female,40-49,Hispanic,Marketing,PhD,3,70,Yes,Yes,Yes,5,16,No
Female,20-29,White,HR,Master,12,70,Yes,Yes,No,2,3,No
Male,20-29,Hispanic,Finance,PhD,3,70,Yes,Yes,Yes,14,28,Yes
Female,40-49,Black,HR,Bachelor,10,85,Yes,Yes,Yes,10,14,No
Female,30-39,Hispanic,HR,PhD,27,70,No,No,No,6,0,No
Female,40-49,Hispanic,IT,Master,17,90,No,No,No,11,21,No
Male,40-49,Black,HR,Master,22,60,Yes,Yes,No,10,29,No
Male,50-59,White,Finance,Master,2,85,Yes,Yes,Yes,1,28,Yes
Male,40-49,Asian,IT,Bachelor,17,95,Yes,Yes,No,14,19,Yes
Male,20-29,White,IT,Bachelor,16,70,Yes,No,Yes,6,0,Yes
Male,40-49,Black,Marketing,Bachelor,2,60,Yes,No,No,4,8,Yes
Male,20-29,Hispanic,Marketing,Bachelor,28,80,No,No,Yes,3,11,Yes
Male,20-29,White,HR,Bachelor,22,70,No,Yes,No,2,3,Yes
Male,20-29,Asian,Marketing,PhD,30,60,Yes,No,Yes,7,27,Yes
Male,30-39,Black,Marketing,Bachelor,20,90,Yes,No,Yes,9,21,Yes
Female,50-59,White,Marketing,Bachelor,6,80,Yes,No,No,12,12,No
Male,20-29,Asian,IT,PhD,28,90,No,No,No,3,6,Yes
Female,20-29,Black,IT,Bachelor,25,95,No,No,Yes,6,7,No
Female,30-39,Asian,IT,Master,29,60,No,Yes,No,9,27,No
Female,20-29,Black,Marketing,Bachelor,10,90,Yes,Yes,Yes,2,12,No
Male,40-49,Hispanic,IT,Bachelor,28,95,No,Yes,No,7,10,Yes
Male,40-49,White,Marketing,Master,10,60,Yes,Yes,No,5,8,No
Male,50-59,Asian,IT,Master,8,60,No,No,Yes,5,24,Yes
Male,20-29,Black,IT,Master,1,90,No,Yes,No,11,23,Yes
Female,30-39,Asian,Finance,Master,13,60,No,Yes,No,7,15,No
Male,40-49,Asian,HR,Bachelor,24,70,Yes,Yes,Yes,9,9,Yes
Male,30-39,White,Marketing,Master,9,60,Yes,No,Yes,4,10,Yes
Male,30-39,Hispanic,Finance,Master,22,85,No,Yes,No,9,11,Yes
Male,40-49,Asian,IT,PhD,10,95,Yes,No,Yes,14,27,Yes
Male,30-39,Black,Marketing,Master,15,60,Yes,No,No,13,13,Yes
Female,40-49,Black,IT,Master,5,85,Yes,No,No,11,18,Yes
Male,30-39,Hispanic,HR,PhD,22,60,Yes,Yes,Yes,10,11,Yes
Female,40-49,Black,Finance,PhD,16,60,Yes,No,Yes,9,17,No
Male,20-29,Hispanic,HR,Bachelor,13,90,Yes,Yes,Yes,13,20,Yes
Female,50-59,Black,Finance,PhD,22,70,Yes,Yes,Yes,4,16,No
Male,40-49,White,IT,Bachelor,25,95,No,Yes,Yes,3,2,Yes
Male,40-49,Asian,HR,PhD,20,70,Yes,No,Yes,2,0,No
Female,50-59,White,HR,PhD,18,80,Yes,No,No,9,28,No
Female,40-49,Asian,IT,Bachelor,11,90,No,Yes,No,12,18,No
Female,40-49,Asian,HR,PhD,27,90,No,No,Yes,2,28,No
Male,30-39,Asian,Marketing,Bachelor,9,70,No,No,No,6,3,Yes
Female,50-59,White,Finance,PhD,16,90,No,No,No,5,22,No
Male,20-29,Asian,Finance,Master,2,70,Yes,Yes,No,14,27,Yes
Male,40-49,White,Finance,PhD,26,90,No,No,No,5,15,Yes
Female,50-59,Hispanic,Marketing,Bachelor,25,60,No,No,Yes,4,11,No
Female,30-39,Black,Finance,PhD,2,70,Yes,Yes,No,6,20,No
Male,20-29,Black,IT,Bachelor,12,70,Yes,No,No,5,20,Yes
Male,50-59,Asian,HR,Bachelor,8,85,Yes,Yes,Yes,11,12,Yes
Female,20-29,White,Marketing,Master,9,90,No,No,Yes,4,16,No
Female,20-29,Black,Finance,Master,12,90,Yes,No,Yes,13,7,Yes
Female,20-29,White,IT,Bachelor,26,70,No,No,Yes,9,12,No
Male,40-49,White,HR,PhD,9,60,Yes,No,No,13,19,Yes
Male,40-49,Asian,HR,Bachelor,10,60,Yes,No,Yes,6,25,Yes
Male,30-39,Black,Marketing,Bachelor,25,95,No,No,No,11,4,Yes
Male,30-39,Asian,Marketing,PhD,2,60,Yes,Yes,No,10,17,Yes
Male,50-59,Asian,Marketing,PhD,16,90,Yes,No,Yes,10,14,Yes
Male,30-39,Black,IT,PhD,20,85,Yes,No,Yes,13,11,Yes
Female,20-29,Black,IT,PhD,7,70,Yes,No,Yes,10,28,No
Male,20-29,Hispanic,Marketing,Bachelor,28,80,Yes,Yes,Yes,13,16,Yes
Male,40-49,Hispanic,Finance,Bachelor,2,85,No,Yes,Yes,3,24,Yes
Male,20-29,White,HR,Master,1,80,No,Yes,Yes,10,14,Yes
Female,50-59,Black,HR,Bachelor,19,85,Yes,No,No,6,1,No
Male,20-29,Hispanic,IT,PhD,28,60,No,No,No,14,5,Yes
Male,20-29,White,HR,Master,4,90,No,Yes,No,1,16,Yes
Female,50-59,White,Finance,PhD,24,80,No,Yes,No,5,15,No
Male,30-39,White,HR,Bachelor,22,85,Yes,Yes,Yes,10,16,Yes
Male,30-39,Hispanic,IT,Master,27,90,Yes,No,Yes,6,24,Yes
Male,50-59,Black,IT,PhD,2,80,Yes,Yes,No,11,19,Yes
Male,40-49,Asian,Finance,Master,25,70,No,No,No,8,8,Yes
Male,20-29,White,Finance,Master,14,85,No,No,No,11,26,Yes
Female,50-59,Hispanic,HR,Bachelor,2,70,Yes,No,Yes,9,4,No
Female,20-29,Hispanic,HR,PhD,29,60,Yes,Yes,Yes,11,22,No
Female,40-49,Asian,IT,Master,15,70,No,No,Yes,3,0,No
Male,20-29,Asian,Finance,Master,12,70,No,Yes,No,2,5,No
Male,50-59,Hispanic,Finance,PhD,5,95,Yes,Yes,No,13,23,Yes
Male,20-29,Black,Finance,Master,28,85,No,Yes,Yes,4,13,Yes
Female,30-39,Asian,HR,Master,20,60,No,Yes,Yes,8,16,No
Male,40-49,Hispanic,Finance,Master,29,70,No,No,No,11,24,No
Male,40-49,Asian,IT,PhD,7,90,No,No,No,8,18,Yes
Female,40-49,Black,IT,PhD,24,80,No,No,Yes,3,0,No
Male,50-59,White,HR,PhD,21,70,No,No,No,4,0,Yes
Female,40-49,Asian,Marketing,PhD,10,60,No,Yes,Yes,3,12,No
Female,30-39,Black,HR,Bachelor,14,70,Yes,Yes,Yes,10,13,No
Female,50-59,Hispanic,Marketing,Master,14,80,Yes,Yes,No,2,26,No
Male,30-39,Asian,Finance,PhD,5,60,No,Yes,No,4,5,Yes
Male,20-29,Asian,HR,Master,18,85,No,No,No,6,26,No
Male,20-29,Hispanic,IT,Master,24,60,No,Yes,Yes,11,5,Yes
Male,20-29,White,Finance,Bachelor,14,85,Yes,No,No,14,0,No
Male,20-29,Hispanic,IT,PhD,2,60,Yes,Yes,No,11,29,No
Male,30-39,Asian,Finance,PhD,26,80,No,Yes,Yes,5,13,Yes
Male,50-59,Hispanic,HR,Master,12,80,Yes,Yes,Yes,3,2,Yes
Female,50-59,Black,Marketing,PhD,22,60,No,Yes,No,2,22,No
Male,40-49,Hispanic,Finance,Master,24,70,No,No,Yes,9,9,Yes
Female,30-39,Asian,Marketing,Master,6,80,No,No,Yes,1,18,No
Male,20-29,Hispanic,Finance,Bachelor,4,85,No,No,Yes,9,18,Yes
Male,30-39,White,IT,Bachelor,13,85,No,No,No,1,18,Yes
Male,40-49,Hispanic,IT,Bachelor,4,90,No,Yes,No,14,27,Yes
Female,40-49,White,Finance,Master,22,95,No,Yes,Yes,7,22,No
Female,30-39,Black,Marketing,PhD,14,95,Yes,No,Yes,6,3,No
Female,30-39,White,HR,Bachelor,16,95,No,No,Yes,7,19,No
Female,30-39,Hispanic,HR,PhD,29,85,Yes,Yes,No,3,18,No
Male,50-59,Asian,IT,Bachelor,4,90,No,Yes,Yes,14,9,Yes
Female,20-29,White,HR,Bachelor,24,95,No,No,Yes,3,26,No
Male,30-39,Black,IT,Master,25,95,Yes,No,No,13,24,Yes
Male,30-39,White,HR,Bachelor,1,60,Yes,No,Yes,11,1,Yes
Female,30-39,White,Finance,Bachelor,13,60,No,Yes,No,1,3,No
Female,40-49,White,IT,Master,4,60,Yes,No,No,4,23,No
Female,40-49,Black,IT,PhD,20,70,No,No,No,12,5,No
Female,50-59,Hispanic,Finance,Bachelor,18,95,No,No,Yes,2,29,No
Female,20-29,White,IT,Master,6,70,Yes,No,Yes,10,6,No
Female,50-59,White,HR,Bachelor,3,90,Yes,No,No,8,15,No
Female,20-29,Asian,HR,Master,23,85,Yes,Yes,Yes,3,28,No
Female,40-49,Black,IT,PhD,13,95,Yes,No,No,7,6,No
Male,40-49,White,HR,PhD,27,85,No,Yes,Yes,7,17,No
Female,40-49,Black,Marketing,Master,16,60,Yes,No,No,12,19,No
Female,50-59,White,IT,Master,27,95,Yes,No,No,9,25,No
Male,30-39,Hispanic,Finance,Master,5,80,Yes,No,Yes,6,25,Yes
Female,30-39,Hispanic,Marketing,PhD,4,70,Yes,Yes,Yes,1,21,No
Male,40-49,White,IT,Bachelor,21,70,Yes,Yes,Yes,8,18,Yes
Male,30-39,Hispanic,Finance,PhD,8,95,No,Yes,Yes,1,8,Yes
Female,30-39,White,HR,Master,19,60,No,No,No,3,28,No
Male,50-59,Hispanic,Finance,Master,14,70,Yes,No,No,11,19,Yes
Male,20-29,Asian,Marketing,PhD,7,60,Yes,Yes,Yes,5,9,Yes
Male,40-49,Asian,HR,Master,14,90,No,Yes,Yes,8,12,Yes
Male,40-49,Asian,IT,PhD,6,85,Yes,No,No,9,17,Yes
Female,50-59,Black,HR,Master,12,80,No,Yes,Yes,7,15,Yes
Male,50-59,Black,IT,Bachelor,16,85,No,No,Yes,9,21,Yes
Female,30-39,Asian,IT,Bachelor,17,85,Yes,Yes,Yes,11,16,No
Male,40-49,Black,Finance,Master,13,90,No,Yes,Yes,3,21,Yes
Male,20-29,Hispanic,Finance,PhD,23,70,Yes,Yes,No,13,12,No
Male,50-59,White,Finance,Bachelor,14,80,Yes,No,No,5,11,Yes
Male,20-29,White,Marketing,PhD,29,70,No,No,Yes,10,9,Yes
Female,20-29,White,Marketing,Master,7,95,No,Yes,No,8,0,No
Female,40-49,Asian,Finance,PhD,14,85,Yes,No,Yes,12,29,No
Male,40-49,Black,Marketing,Bachelor,15,95,No,No,Yes,1,7,Yes
Male,50-59,Hispanic,HR,PhD,12,60,Yes,No,Yes,8,20,Yes
Female,40-49,Hispanic,HR,PhD,17,85,No,No,No,7,21,No
Male,40-49,Asian,Marketing,Master,9,70,No,Yes,No,1,17,Yes
Male,40-49,Hispanic,Marketing,Master,22,85,Yes,No,No,13,1,Yes
Male,20-29,Hispanic,HR,Master,15,60,Yes,No,No,13,15,Yes
Female,50-59,Hispanic,IT,Bachelor,12,90,Yes,Yes,No,10,11,No
Female,30-39,Hispanic,HR,Bachelor,2,95,No,No,Yes,12,8,No
Female,20-29,Black,HR,Master,5,95,Yes,No,Yes,10,2,No
Male,40-49,Hispanic,Marketing,Master,13,70,Yes,No,No,12,21,Yes
Male,20-29,White,HR,Bachelor,27,85,No,Yes,No,6,25,Yes
Female,40-49,Asian,Marketing,Bachelor,20,70,No,Yes,No,1,20,Yes
Female,40-49,Black,Marketing,Bachelor,23,90,Yes,No,Yes,2,29,No
Female,20-29,Hispanic,Finance,Bachelor,8,85,Yes,No,No,5,27,No
Female,50-59,Black,HR,Master,27,85,Yes,Yes,Yes,2,3,No
Male,40-49,Hispanic,IT,Bachelor,14,70,Yes,Yes,Yes,14,25,Yes
Female,50-59,White,Finance,Master,15,70,No,Yes,No,10,1,No
Male,30-39,Asian,Marketing,PhD,11,60,No,No,Yes,1,7,Yes
Female,40-49,Hispanic,Marketing,PhD,1,90,Yes,No,Yes,6,9,No
Male,50-59,Hispanic,IT,Bachelor,21,60,Yes,Yes,No,8,15,Yes
Female,50-59,Hispanic,Marketing,PhD,3,95,Yes,No,Yes,8,22,No
Female,30-39,Hispanic,HR,PhD,17,85,No,No,No,13,10,No
Female,50-59,Asian,Finance,PhD,28,70,Yes,No,Yes,13,17,No
Female,50-59,Asian,Marketing,Bachelor,19,85,Yes,No,No,8,21,No
Male,30-39,White,Marketing,Bachelor,14,85,No,No,No,11,13,Yes
Female,40-49,Asian,IT,PhD,22,80,No,No,Yes,6,7,No
Male,50-59,Hispanic,HR,Master,30,95,Yes,No,No,11,22,Yes
Male,50-59,White,Marketing,PhD,23,80,Yes,Yes,Yes,3,14,Yes
Male,50-59,White,IT,Bachelor,8,85,No,Yes,Yes,1,16,Yes
Male,20-29,White,Marketing,Bachelor,13,70,Yes,Yes,No,2,20,Yes
Female,30-39,Hispanic,IT,Bachelor,27,85,Yes,Yes,Yes,5,17,No
Male,20-29,Black,IT,PhD,20,95,No,Yes,No,13,5,No
Male,30-39,Hispanic,HR,Master,3,80,No,Yes,Yes,10,22,Yes
Male,40-49,Asian,Marketing,Bachelor,5,70,No,Yes,Yes,5,29,Yes
Female,40-49,Asian,HR,Bachelor,9,85,Yes,Yes,No,10,13,No
Female,50-59,Hispanic,IT,PhD,29,90,No,Yes,Yes,14,22,No
Female,30-39,Hispanic,Finance,Master,6,95,No,No,Yes,1,2,No
Female,40-49,White,Marketing,PhD,25,95,Yes,No,Yes,1,6,Yes
